word,tfidf_score
just,545.8752394112311
feel,465.25876026168396
like,435.5018495720945
don,432.79632805439087
removed,383.3476953482801
want,348.86348857946825
life,322.25240922951724
know,316.8834587511551
people,259.44421969309724
really,246.77404200248026
depression,245.00650731630506
time,231.24397826785952
help,204.39560176751056
think,197.22309294389245
friends,191.32506043707588
day,188.38720928135572
going,182.92952802445504
anymore,168.1383644023093
depressed,166.06897139748722
things,165.4294503116076
